POSICIÓN;PILOTO; AUS_SP; AUS_POS; AUS _FL;AUS_TEAM; MYS_SP; MYS_POS; MYS_FL;MYS_TEAM; BHR_SP; BHR_POS; BHR_FL;BHR_TEAM;ESP_SP; ESP_POS;ESP_FL;ESP_TEAM;MON_SP; MON_POS;MON_FL;MON_TEAM;CAN_SP; CAN_POS;CAN_FL;CAN_TEAM;USA_SP; USA_POS;USA_FL;USA_TEAM;FRA_SP; FRA_POS;FRA_FL;FRA_TEAM;GBR_SP; GBR_POS;GBR_FL;GBR_TEAM;EUR_SP; EUR_POS;EUR_FL;EUR_TEAM;HUN_SP; HUN_POS;HUN_FL;HUN_TEAM;TUR_SP; TUR_POS;TUR_FL;TUR_TEAM;ITA_SP; ITA_POS;ITA_FL;ITA_TEAM;BEL_SP; BEL_POS;BEL_FL;BEL_TEAM;JPN_SP; JPN_POS;JPN_FL;JPN_TEAM;CHN_SP; CHN_POS;CHN_FL;CHN_TEAM;BRA_SP; BRA_POS;BRA_FL;BRA_TEAM
1; Kimi Räikkönen;0;1;1;Ferrari;0;3;0;Ferrari;0;3;1;Ferrari;0;DNF;0;Ferrari;0;8;0;Ferrari;0;5;0;Ferrari;0;4;1;Ferrari;0;1;0;Ferrari;0;1;1;Ferrari;0;DNF;0;Ferrari;0;2;1;Ferrari;0;2;1;Ferrari;0;3;0;Ferrari;0;1;0;Ferrari;0;3;0;Ferrari;0;1;0;Ferrari;0;1;1;Ferrari
2; Lewis Hamilton;0;3;0;McLaren;0;2;1;McLaren;0;2;0;McLaren;0;2;0;McLaren;0;2;0;McLaren;0;1;0;McLaren;0;1;0;McLaren;0;3;0;McLaren;0;3;0;McLaren;0;9;0;McLaren;0;1;0;McLaren;0;5;0;McLaren;0;2;0;McLaren;0;4;0;McLaren;0;1;1;McLaren;0;RET;0;McLaren;0;7;0;McLaren
3; Fernando Alonso;0;2;0;McLaren;0;1;0;McLaren;0;5;0;McLaren;0;3;0;McLaren;0;1;1;McLaren;0;7;1;McLaren;0;2;0;McLaren;0;7;0;McLaren;0;2;0;McLaren;0;1;0;McLaren;0;4;0;McLaren;0;3;0;McLaren;0;1;1;McLaren;0;3;0;McLaren;0;RET;0;McLaren;0;2;0;McLaren;0;3;0;McLaren
4; Felipe Massa;0;6;0;Ferrari;0;5;0;Ferrari;0;1;0;Ferrari;0;1;1;Ferrari;0;3;0;Ferrari;0;DSQ ;0;Ferrari;0;3;0;Ferrari;0;2;1;Ferrari;0;5;0;Ferrari;0;2;1;Ferrari;0;13;0;Ferrari;0;1;0;Ferrari;0;RET;0;Ferrari;0;2;1;Ferrari;0;6;0;Ferrari;0;3;1;Ferrari;0;2;0;Ferrari
5; Nick Heidfeld;0;4;0;BMW Sauber;0;4;0;BMW Sauber;0;4;0;BMW Sauber;0;DNF;0;BMW Sauber;0;6;0;BMW Sauber;0;2;0;BMW Sauber;0;RET;0;BMW Sauber;0;5;0;BMW Sauber;0;6;0;BMW Sauber;0;6;0;BMW Sauber;0;3;0;BMW Sauber;0;4;0;BMW Sauber;0;4;0;BMW Sauber;0;5;0;BMW Sauber;0;14;0;BMW Sauber;0;7;0;BMW Sauber;0;6;0;BMW Sauber
6; Robert Kubica;0;RET;0;BMW Sauber;0;18;0;BMW Sauber;0;6;0;BMW Sauber;0;4;0;BMW Sauber;0;5;0;BMW Sauber;0;RET;0;BMW Sauber;0;-;0;BMW Sauber;0;4;0;BMW Sauber;0;4;0;BMW Sauber;0;7;0;BMW Sauber;0;5;0;BMW Sauber;0;8;0;BMW Sauber;0;5;0;BMW Sauber;0;9;0;BMW Sauber;0;7;0;BMW Sauber;0;RET;0;BMW Sauber;0;5;0;BMW Sauber
7; Heikki Kovalainen;0;10;0;Renault;0;8;0;Renault;0;9;0;Renault;0;7;0;Renault;0;13;0;Renault;0;4;0;Renault;0;5;0;Renault;0;15;0;Renault;0;7;0;Renault;0;8;0;Renault;0;8;0;Renault;0;6;0;Renault;0;7;0;Renault;0;8;0;Renault;0;2;0;Renault;0;9;0;Renault;0;RET;0;Renault
8; Giancarlo Fisichella;0;5;0;Renault;0;6;0;Renault;0;8;0;Renault;0;9;0;Renault;0;4;0;Renault;0; DSQ ;0;Renault;0;9;0;Renault;0;6;0;Renault;0;8;0;Renault;0;10;0;Renault;0;12;0;Renault;0;9;0;Renault;0;12;0;Renault;0;RET;0;Renault;0;5;0;Renault;0;11;0;Renault;0;RET;0;Renault
9; Nico Rosberg;0;7;0;Williams;0;RET;0;Williams;0;10;0;Williams;0;6;0;Williams;0;12;0;Williams;0;10;0;Williams;0;16;0;Williams;0;9;0;Williams;0;12;0;Williams;0;RET;0;Williams;0;7;0;Williams;0;7;0;Williams;0;6;0;Williams;0;6;0;Williams;0;RET;0;Williams;0;16;0;Williams;0;4;0;Williams
10; David Coulthard;0;RET;0;Red Bull;0;RET;0;Red Bull;0;RET;0;Red Bull;0;5;0;Red Bull;0;14;0;Red Bull;0;RET;0;Red Bull;0;RET;0;Red Bull;0;13;0;Red Bull;0;11;0;Red Bull;0;5;0;Red Bull;0;11;0;Red Bull;0;10;0;Red Bull;0;RET;0;Red Bull;0;RET;0;Red Bull;0;4;0;Red Bull;0;8;0;Red Bull;0;9;0;Red Bull
